ID,Name (descriptive),Name as Field (subfield),General Approach,Specific Approach,General Area,Specific Area,,Terms Prob,Terms Frex
75,Agricultural History,Social History (Agriculture),Social History; Economic History,Agriculture,Europe,None,,"land, agricultur, farm, peasant, rural, farmer, labor, product, properti, econom, area, agrarian, tenant, market, work, estat, crop, popul, larg, cultiv","tenant, farm, landlord, tenanc, landless, agrarian, sharecropp, farmer, landown, hectar, agricultur, acr, sharecrop, smallhold, rural, landhold, acreag, peasantri, grower, peasant"
76,Consumption and consumerism,Women's and Gender History (Food and Consumption),Women's and Gender History; Cultural History,Food and Consumption,United States,None,,"consum, cultur, new, consumpt, good, cloth, food, advertis, social, store, home, fashion, one, use, american, product, also, york, materi, time","consumer, corset, consum, tourism, cookbook, toy, consumpt, diner, cuisin, retail, supermarket, vacat, soap, cookeri, volkswagen, culinari, furnitur, smell, coney, beetl"
77,Classics,Classics,Classics,None,None,None,,"roman, greek, ancient, see, rome, centuri, histori, also, empir, time, antiqu, classic, text, first, christian, one, greec, tradit, later, thucydid","zosimus, theopompus, eunapius, creuzer, argiv, habad, ephorus, herodotus, thucydid, arrian, tacitus, athenian, polybius, scalig, sparta, peloponnesian, plini, nicephorus, usen, messenian"
78,U.S. History (13 Colonies),U.S. History (13 Colonies),Colonies & Empires,Thirteen British Colonies,United States,New England,,"new, coloni, american, england, york, america, massachusett, boston, histori, john, see, earli, william, town, english, revolut, philadelphia, societi, virginia, journal","whitefield, mather, pequot, plymouth, winthrop, fithian, connecticut, ipswich, quaker, 1775, loyalist, massachusett, andov, deerfield, dedham, 1774, bailyn, lockridg, beadl, hancock"
79,Legal History,Legal History,Legal History,Criminal Justice,None,None,,"law, court, case, legal, polic, crime, crimin, justic, prison, state, violenc, act, judg, right, punish, trial, author, convict, arrest, murder","crimin, crime, homicid, juri, prosecut, prison, punish, judici, murder, polic, prosecutor, arrest, penal, juror, theft, court, jail, penalti, litig, legal"
80,East Asian History,East Asian History,None,None,East Asia,None,,"chines, china, japanes, japan, western, see, tokyo, shanghai, modern, imperi, offici, confucian, also, histori, univers, taiwan, asian, han, qing, year","zhongguo, nihon, lishi, nianhua, renmin, fukuzawa, inukai, shimoda, kmt, rekishi, heilongjiang, choson, shakai, kindai, shehui, ishin, meishu, jindai, kenkyu, jiangsu"
81,General Historiography,Historiography (General),Historiography,None,None,None,,"one, may, can, even, seem, fact, question, point, use, differ, might, general, case, must, certain, make, way, possibl, much, reason","say, must, certain, fact, obvious, argument, question, can, quit, explan, reason, might, seem, whether, matter, answer, realli, sort, definit, someth"
82,German Intellectual History,Intellectual History (German),Intellectual History,None,Europe,Germany,,"histori, marx, histor, philosophi, human, concept, natur, idea, theori, one, philosoph, weber, thought, form, develop, world, hegel, scienc, time, object","hegel, nietzsch, marx, hegelian, koselleck, droysen, kojev, blumenberg, kant, heidegg, meineck, historic, sartr, dilthey, foucault, weber, engel, merleau-ponti, marxism, phenomenolog"
83,Indigenous and Colonial Latin America,Latin American History (Colonial),Colonies and Empires; Indigenous History,None,Latin America,None,,"spanish, mexico, del, indian, spain, coloni, los, las, latin, peru, madrid, historia, inca, see, citi, vol, also, chile, juan, america","picunch, pachacuti, cieza, cofrad, betanzo, khipu, khipus, curaca, duviol, tezcatlipoca, huaca, chancay, viracocha, antequera, tecuht, espa�, batab, achagua, juicio, mixteca"
84,Noise,Noise,Noise,None,None,None,,"mari, brown, see, one, convent, john, riot, mob, 1812, keyserl, jack, benson, new, also, letter, even, boyl, rudolf, frazer, boston","keyserl, ursulin, bough, mayerl, benni, frazer, crossdress, cuckoo, fenwick, nemi, vetsera, cuckold, belmont, boyl, storer, embryo, kutuzov, donnelli, mna, zipra"
85,History of Africa,History of Africa,None,None,Africa,None,,"african, africa, coloni, south, peopl, see, nativ, cape, chief, european, london, state, also, polit, west, british, nigeria, ghana, govern, kenya","maasai, kna, luthuli, buthelezi, inkatha, ilparakuyo, hintsa, afrikan, asant, ghana, basotho, tanzania, rwanda, nyerer, nigeria, chopi, kamba, asafo, nigerian, zulu"
86,Italian Fascism,European History (Italian Fascism),Political History,Fascism,Europe,Italy,,"italian, itali, fascism, mussolini, fascist, rome, del, see, della, croce, milan, storia, also, turin, war, first, studi, napl, new, italiana","corradini, gobetti, ragionieri, cantimori, frassati, aconcio, giolitti, alciato, strzygowski, mussolini, pastorius, prezzolini, risorgimento, giolittian, fascista, fascismo, paradisi, croce, papini, salvemini"
87,Sociology and History,Historiography (Sociology),Historiography,Sociology,None,None,,"social, societi, chang, structur, system, develop, cultur, studi, relat, theori, process, new, econom, modern, model, institut, differ, polit, analysi, group","sociolog, structur, model, theoret, framework, theori, sociologist, differenti, analyt, analysi, typolog, tilli, function, conceptu, development, process, parson, organiz, dynam, type"
88,Early Modern French State Building,European History (Early Modern French State Building),Political History,None,Europe,France,,"tax, estat, nobl, french, franc, nobil, royal, pari, debt, offic, year, centuri, king, one, 1789, see, des, privileg, assembl, revenu","necker, calonn, bailliag, seigneuri, corsica, parlement, estates-gener, taill, corsican, ennobl, livr, seigneur, lefebvr, cahier, markoff, joli, servan, bureaux, debtor, usuri"
89,Sports and Class in Great Britain,Great Britain (Sports and Class),Social History; Cultural History,None,Europe,Great Britain,,"london, labour, social, sport, class, work, ofth, histori, britain, victorian, british, centuri, club, game, see, play, also, working-class, life, men","basebal, cricket, footbal, sport, chartist, cadburi, athlet, edwardian, basketbal, larrikin, salford, chartism, bournvill, labour, lancashir, player, manchest, leed, middlesbrough, behaviour"
90,Cultural History of the U.S. Civil War,Cultural History (U.S. Civil War),Cultural History,None,United States,None,,"lincoln, war, civil, american, new, york, slaveri, union, northern, abolitionist, southern, confeder, see, south, 1863, dougla, reconstruct, republican, north, nation","lincoln, seward, sapiro, contraband, douglass, homesick, sumner, abolitionist, confeder, awak, secess, 1862, 1863, 1864, howe, mcpherson, abraham, stanton, anti-slaveri, weld"
